,Title,Desc_of_movies
2608,"Love, Surreal and Odd (Tatlim Tatlim) ","When a group of people meets at the same party, they form four different relationships, each experiencing similar phases of love."
2609,Love.com ,"When a fashion blogger falls for a video game vlogger, their romance goes viral. But separating their virtual life from reality gets complicated."
2610,The Lovebirds ,"When a couple in the fast lane to splitsville accidentally careens into a murder, they take off on a wild race to find the killer and clear their names."
2611,Lovesong ,"Best friends Sarah and Mindy share an unexpected moment while on a road trip. Years later, the two struggle to reconnect before a wedding."
2612,Loving is Losing (El Que Se Enamora Pierde) ,"When a newly single photographer is forced to work with a longtime rival, the battle of their egos turns into a chance for love."
2613,Loving You ,"Struggling in a loveless marriage, a hard-drinking, workaholic cop finds a chance at redemption after a fateful incident leaves him wounded."
2614,"LSD: Love, Sex Aur Dhokha ",This provocative drama examines how the voyeuristic nature of modern society affects three unusual couples in Northern India.
2615,Lucas Brothers: On Drugs ,"Deadpan twin comics Keith and Kenny Lucas take the stage in Brooklyn with a set that touches on drugs, race, Deion Sanders, teachers and O.J. Simpson."
2616,Luccas Neto em: Acampamento de Férias 2 ,"Luccas and his band of buddies make music and mischief at a new summer camp, where they face off with talented rivals and their tough coach."
2617,Luccas Neto in: Children's Day (Luccas Neto em: Dia das Crianças) ,"When Luccas Neto plans a big Children's Day celebration, an unexpected threat at school puts the party -- and his friends -- at risk."
2618,Luccas Neto in: Summer Camp (Luccas Neto em: Acampamento de Férias) ,Luccas and Gi are heading to a world famous gymkhana camp. Only problem: so are their bullies... A fun musical that will get you in a vacation mood.
2619,Luccas Neto in: The End of Christmas (Luccas Neto em: O Fim do Natal) ,"To save Christmas, Luccas and Gi head to the North Pole and are recruited by Santa Claus to find all the gifts that have mysteriously disappeared."
2620,Lucha: Playing the Impossible (Lucha. Jugando con lo imposible) ,"Known simply as ""Lucha,"" field hockey player Luciana Aymar shares her tumultuous and triumphant journey to become the best in the world."
2621,Luciano Mellera: Infantiloide ,Argentina's Luciano Mellera emphasizes the humorous and fantastical aspects of childhood through comedic impersonations and insights on daily life.
2622,Lucid Dream ,"After searching for his abducted son for three years, a devastated father attempts to track down his missing child through lucid dreams."
2623,Luck by Chance ," When Vikram gets tapped to play the male lead in a Bollywood film, he can't believe his luck. But it may ruin his relationship with his girlfriend."
2624,Luckee ,"When his friends make a bet that he can woo his college crush, a lovesick student named Luckee struggles between satisfying his heart and hormones."
2625,Lucknow Central ,"After being arrested for a crime he didn't commit, an aspiring musician teams up with some of his inmates at Lucknow Central to form a band."
2626,The Lucky One ,Marine vet Logan sets out to find the woman behind the smile in the lucky-charm photo that steered his fate while serving in Iraq.
2627,Lucky: No Time for Love ,"During an uprising in Russia's St. Petersburg, teen girl Lucky meets handsome Aditya, the Indian ambassador's son, and together they flee the chaos."
2628,Lucy ," When a young American in Taiwan becomes an unwilling drug mule, the high-tech narcotics get released into her system and activate superhuman powers."
2629,Ludo ,"Needing a secluded place for a late-night tryst, two couples stow away in a mall after hours, but are quickly ensnared in a gruesome and deadly game."
2630,Luka Chuppi ,"Pretending to marry in order to cohabitate, a small-town couple lands in endless awkward situations to hide the truth from their orthodox families."
2631,Lupin the 3rd: The Castle of Cagliostro: Special Edition ,"Lupin, his sidekick, Jigen, and the samurai warrior Goemon set out to take over an evil counterfeit operation at Count Cagliostro's fortress."
2632,Lupt ,"Haunted by disturbing visions, a workaholic takes a vacation with his family, but a detour leads them to an unsettling stranger and chilling events."
2633,Lusers ,Three men from different nations must find their way out of the Amazon jungle -- on foot -- when they get lost on the way to Brazil's World Cup Final.
2634,Lust Stories ,"In the companion to 2013's ""Bombay Talkies,"" four short films by four of India's biggest directors explore love, sex and relationships in modern India."
2635,Luv Shuv Tey Chicken Khurana ,"Fleeing London to evade a gangland debt collector, Omi Khurana returns to his native village in India, passing himself off as a successful lawyer."
2636,Lynne Koplitz: Hormonal Beast ,"Unabashed comedian Lynne Koplitz offers a woman's take on being crazy, the benefits of childlessness and the three things all men really want."
2637,Ma Chu Ka ,The relationship between a journalist and a lawyer she meets while investigating a story grows complicated as she uncovers layers of deception.
2638,Maacher Jhol ,"On his first visit to his home city of Kolkata in 13 years, a Paris-based chef is faced with a cooking challenge that will change his life forever."
2639,Mac and Devin Go to High School ,"Devin Overstreet may be the class valedictorian, but he hasn&#39;t had much life experience. Enter Mac Johnson, a 10th-year senior and weed dealer."
2640,Macho ,A famous designer who's always pretended to be gay finds himself in crisis mode when threatened with exposure as the woman-chasing straight guy he is.
2641,The Mad Monk ,"To avoid punishment for his misdeeds, an arrogant god accepts a mission to reform three mortals on earth, where he must also contend with a demon."
2642,Mad World (Yat nim mou ming) ,"A stockbroker struggling with bipolar disorder goes to live with his estranged father in a cramped flat, where old resentments bubble to the surface."
2643,Madagascar ," When the ship they're on capsizes, a lion, zebra, giraffe and hippo from a zoo become stranded on Madagascar, an island populated by oddballs."
2644,Madagascar 3: Europe's Most Wanted ," Having ended their African adventures, Alex and his friends set their sights for New York City -- this time, hitching a ride with a traveling circus."
2645,Madagascar: Escape 2 Africa ," A botched rescue strands Alex the lion and his companions in Africa. Sadly, Alex discovers he has little in common with the locals."
2646,Maddman: The Steve Madden Story ,This documentary chronicles the rise of the footwear designer behind a billion-dollar empire and his subsequent comeback after a financial scandal.
2647,Made in China ,"After a trip to China, a struggling entrepreneur returns to India as the supplier of an illegal aphrodisiac -- but all he ends up stimulating is chaos."
2648,Made of Honour ," Suddenly realizing he loves his platonic best friend, a perennial skirt-chaser uses his role as her ""maid"" of honor to unravel her marriage plans."
2649,Madea's Family Reunion ,"Amid the chaos of preparing for a family reunion, gun-toting granny Madea must try to keep her clan together in the face of various emotional crises."
2650,Madness in the Desert (Chale Chalo: The Lunacy of Film Making) ,"The story of making 'Lagaan,' one of the millennium's seminal Indian films, is told from the point of view of production team member Satyajit Bhatkal."
